title,price,content,url
もちべえのずんだ餅,5000, 【商品内容】ずんだ餅 【内・個数】ずんだ餅(6粒入)×3箱 【消費期限】90日 【保存方法】冷凍 【お届け状態】冷凍 【商品説明】 宮城県認定もち米100%と大崎産枝豆を使った「ずんだ餅」,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/66954
A085 黒毛和牛サーロインステーキ180g,5000, ・黒毛和牛サーロインステーキ　180g（1枚）［冷凍］,https://www.furusato-tax.jp/japan/prefecture/item_detail/27213/197849
【白米3kg】宮城県大崎市田尻産 無農薬米　「ふゆみずたんぼ米」,5000, 【商品内容】精米　ひとめぼれ 【内・個数】 1袋3Kg入り 【保存方法】常温 【お届け状態】常温 【商品説明】 生き物と共生しながら育てられた、命のエネルギーが凝縮されたお米,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/66953
彩りミニトマト詰合せ,5000, 【商品内容】ミニトマト 【内・個数】ミニトマト1.5kg 【消費期限】出荷より5日間 【保存方法】冷蔵 【お届け状態】常温 【商品説明】 農場採れたての鮮やかな赤・黄色ミニトマト。2つの味わいを食べくらべ!,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/172426
佐賀の天然醸造醤油 自然一・海苔とろとろしょうゆ 3本セット SS-121,5000, 天然醸造"自然一"醤油300ml×1本 天然醸造”自然一”ぽん酢300ml×1本 佐賀海苔とろとろしょうゆ150ml×1本,https://www.furusato-tax.jp/japan/prefecture/item_detail/41001/344074
鶯咲　純米酒,5000, 【商品内容】清酒　純米酒 【内・個数】720ml 【消費期限】製造月より半年 【保存方法】常温・冷蔵 【お届け状態】常温 【商品説明】 柔らかな口当たりとふくよかな米の旨味がある飲み飽きしないお酒,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/45292
イベリコ豚プレミアム骨付きロースステーキ,10000, イベリコ豚骨付きロースステーキ　5枚　600ｇ 原産国：スペイン 保存方法：冷凍,https://www.furusato-tax.jp/japan/prefecture/item_detail/21504/369726
A-005 ★味わいセット★肥前さくらポーク・ロース＆ばら,10000, さくらポーク・ロース とんかつ&ステーキ用約100g×4枚（計約400g）・ばらスライス約400g,https://www.furusato-tax.jp/japan/prefecture/item_detail/41341/328535
C-72 おおいた豊後牛「頂」ロースステーキ１枚,10000, ロースステーキ180g×１枚,https://www.furusato-tax.jp/japan/prefecture/item_detail/44209/334341
A-63　大谷焼　四角皿　1枚,10000,配送,https://www.furusato-tax.jp/japan/prefecture/item_detail/36202/366318
【57E015】＜キッチン飛騨＞ハンバーグ＆焼きカレー,10000, ハンバーグ１２０ｇ×４、ハンバーグソース２５ｇ×４、焼きカレー２１０ｇ×２　冷凍50日,https://www.furusato-tax.jp/japan/prefecture/item_detail/21211/354647
《B1-010》【枚方を美味しく食べよう！】アマレットの特製ドレッシング5本セット,10000, 【アマレット特製】枚方ドレッシング　シェリー風味［200ml/最終加工地：大阪府枚方市］5本セット   〔原材料・成分〕 なたね油、オニオンペースト、ぶどう酢、オイスターソース(小麦・大豆を含む)、ベーコン(豚肉を含む)、卵黄(卵を含む）、しょうゆ、食塩、アンチョビソース、レモンジュース(濃縮還元)、ガーリックペースト、香辛料　／　調味料(アミノ酸等)、増粘剤(キサンタン）、カラメル色素、香料   〔賞味期限・消費期限〕 ・アマレットの特製ドレッシング［200ml/大阪府枚方市］製造月より60日,https://www.furusato-tax.jp/japan/prefecture/item_detail/27210/252771
57E015　＜キッチン飛騨＞ハンバーグ＆焼きカレー,10000, ハンバーグ120g×4 ハンバーグソース25g×4 焼きカレー210g×2 賞味期限：冷凍で50日,https://www.furusato-tax.jp/japan/prefecture/item_detail/21205/352324
BJ10 輝塩（塩の結晶）新上五島天然海塩【25P】,10000, 内：60ｇ　サイズ：H94mmxW91mm,https://www.furusato-tax.jp/japan/prefecture/item_detail/42411/171447
No.140 鉾田ハム　一本切りバラベーコン,10000, バラベーコン500ｇ,https://www.furusato-tax.jp/japan/prefecture/item_detail/08234/338174
A-36 安納黒豚　ステーキ（ロース）　６００ｇ,10000, ステーキ用ロース　１５０ｇ×４パック,https://www.furusato-tax.jp/japan/prefecture/item_detail/45341/306064
B-240．甲州ワインビーフ カタロース焼肉用400g オリジナル焼肉のたれ1本付,10000, 甲州ワインビーフ　カタロース焼肉用400ｇ オリジナル焼肉のたれ1本,https://www.furusato-tax.jp/japan/prefecture/item_detail/19213/290090
A-37_松屋バラエティ８ヶセット,10000, スンドゥブ マイルド 300g、スンドゥブ 辛口 300g、煮豚のたれ 200g、牛丼のたれ 80g、ローストビーフ丼のたれ 80g、和風ステーキソース 100g、サウザンドレッシング 300ml、お肉がやわらかくなる漬込みだれ 350g,https://www.furusato-tax.jp/japan/prefecture/item_detail/23215/313695
A1601　黒毛和牛 選べるカタログギフト『寿』,10000, 【カタログ内容】 ●ステーキ ・和牛ロースステーキ 200g×1枚 ・和牛モモハートステーキ 100g×2枚  ●すき焼き ・和牛肩ロースすき焼き 400g ・和牛モモすき焼き 400g  ●焼肉 ・和牛バラ焼肉 350g  ●切り落とし ・和牛切り落とし 700g  ●豚肉 ・神戸ポーク肩ロースしゃぶ 1kg ・神戸ポークバラスライス 1kg ・神戸ポークロースとんてき 800g ・神戸ポーク切り落とし 1.5kg  以上の商品からお１つお選びいただけます。,https://www.furusato-tax.jp/japan/prefecture/item_detail/28216/345822
KH01 【世界の中津侍からあげ聖林】国産高級モモ肉300gを揚げて作るからあげステーキ4枚,10000, 鶏モモ肉使用ステーキ　300g ×4枚　(鹿児島宮崎県産鶏肉)(加工地:上毛町),https://www.furusato-tax.jp/japan/prefecture/item_detail/40646/341605
三州豚　モモ薄切スライス３００ｇ・ロースステーキ４枚,10000, モモ薄切スライス３００ｇ ロースステーキ４枚（４００～５００ｇ）,https://www.furusato-tax.jp/japan/prefecture/item_detail/23227/349635
Ｂ【425-728】　近江牛ハンバーグ　６個,10000, 近江牛ハンバーグ　100g×6個,https://www.furusato-tax.jp/japan/prefecture/item_detail/25425/343989
【冷蔵】１８０ｇ！！「宮崎牛」ロースステーキ　A-103,10000, 【冷蔵】宮崎牛ロースステーキ　約180g,https://www.furusato-tax.jp/japan/prefecture/item_detail/45207/338125
［Ta201-A076］【愛犬用】（無添加・無着色）エゾ鹿ステーキ6個セット,10000, エゾ鹿ステーキ44ｇ個装×6個（264ｇ相当）,https://www.furusato-tax.jp/japan/prefecture/item_detail/01206/352902
B423 黒毛和牛赤身ももステーキ　8枚（640g）,10000,消費期限 発送日から30日間（冷凍）,https://www.furusato-tax.jp/japan/prefecture/item_detail/27213/371188
自然共生 三志米 (ふゆみずたんぼ米・ゆきむすび・シナイモツゴ郷の米),5000, 【商品内容】　大崎市産 ふゆみずたんぼ米 鳴子の米プロジェクト・ゆきむすび シナイモツゴ郷の米 【内・個数】各300g×3 【消費期限】製造より2か月 【保存方法】常温 【お届け状態】常温 【商品説明】大崎市が誇る3つの志のお米です。,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/66949
酒まんぢう,5000, 【商品内容】酒まんぢう 【内・個数】10個入り 【消費期限】30日 【保存方法】冷凍 【お届け状態】冷凍 【商品説明】 伝統的なお酒の発酵製法で、今も手作りの岩出山銘菓。,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/45310
なるこりんの野菜ジェラート4個セット,5000, 【商品内容】ジェラート 【内・個数】90ml×4個 【消費期限】90日 【保存方法】冷凍 【お届け状態】冷凍 【商品説明】 野菜ソムリエが作る野菜の美味しさと栄養を詰め込んだジェラート,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/45308
コーヒー大崎産米豆&ブルーベリーコーヒー詰合せ,5000, 【商品内容】コーヒー 【内・個数】2種各10g×5パック、合計10パック 【消費期限】製造から1年半 【保存方法】常温、高温多湿直射日光を避ける 【お届け状態】常温 【商品説明】 地元のお米と大豆をブレンドした味わい深いコーヒーの詰合せ,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/45318
【鳴子漆器】　箸,5000, 【商品内容】 鳴子漆器　箸 【内・個数】 箸　約23cm 【商品説明】 軽くて丈夫、長く使い続けられる漆塗りの箸,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/45312
A-11　和気町特産　生いもこんにゃくセット,5000, 生芋角こんにゃく(2)、生芋糸こんにゃく(2)、生芋ちくわこんにゃく(1)、生芋手造りこんにゃく(1)、生芋串おでん(1),https://www.furusato-tax.jp/japan/prefecture/item_detail/33346/159475
[0234]お手軽お夜食セット　四万十鶏のガーリックステーキ4個（1kg）,5000, 四万十鶏のガーリックステーキ　4個（真空パック1.0kg入り）,https://www.furusato-tax.jp/japan/prefecture/item_detail/39428/275079
A105 マスデウ　ランチ　ペアセット,5000, ・マスデウランチ（2名様分）,https://www.furusato-tax.jp/japan/prefecture/item_detail/27213/209487
マルセンファーム　まごころ一直線「ひとめぼれ」（3kg）,5000, 【商品内容】精米　ひとめぼれ 【内・個数】 1袋3Kg入り 【消費期限】1ヶ月 【保存方法】常温 【お届け状態】常温 【商品説明】 優しい製法で育てたお米「ひとめぼれ」の、味と香りをお楽しみください。,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/230690
A39 【ジャポネソース＋サラダドレッシング】「ビストロスイッチバーン」の激ウマ！！シェフのおすすめ本格ジャポネソース ＋サラダドレッシング （SWITCH BAHN）,5000, ジャポネソース３６５ml サラダドレッシング３６５ml,https://www.furusato-tax.jp/japan/prefecture/item_detail/40223/311017
【3kg】稀少米 鳴子の米プロジェクトゆきむすび くい掛け米　　限定30セット,5000, 【商品内容】精米　東北181号 【内・個数】 1袋　3Kg 【消費期限】1ヶ月 【保存方法】常温 【お届け状態】常温 【商品説明】 冷めてもおいしい、おにぎりやお弁当にぴったりのお米「ゆきむすび」,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/66952
[0236]お手軽お夜食セット　四万十鶏のやわらかテリヤキ丼　10袋,5000, 四万十鶏のやわらかテリヤキ丼　90g×10袋（真空パック）,https://www.furusato-tax.jp/japan/prefecture/item_detail/39428/275080
川島の焼き肉のたれ,5000, 400g×2本,https://www.furusato-tax.jp/japan/prefecture/item_detail/36205/79988
伊達な絹粒(飴菓子),5000, 【商品内容】(飴菓子) 【内・個数】18粒入袋5種類 【消費期限】製造日より180日 【保存方法】常温※高温・多湿を避けて保存 【お届け状態】常温 【商品説明】 噛むと口の中でほろりと崩れるまさに絹糸のような食感,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/45304
102 大山望チップス,5000, 鳥取和牛チップ110g、白ねぎチップ110g,https://www.furusato-tax.jp/japan/prefecture/item_detail/31390/22211
鳴子の風4本セット,5000, 【商品内容】発泡酒 【内・個数】鳴子の風ラガー×2本、ゆきむすび×1本、山ぶどう×1本 各種300ml 【消費期限】瓶詰後120日 【保存方法】冷蔵 【お届け状態】冷蔵 【商品説明】　大崎市鳴子温泉の自然の恵がギュッと詰まった地発泡酒,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/204907
御造り醤油と和風胡麻ドレッシングセット,5000, 御造り醤油　1本（200ml） ・ 和風胡麻ドレッシング　1本（200ml）,https://www.furusato-tax.jp/japan/prefecture/item_detail/41210/294009
A40 【ジャポネソース（２本）】「ビストロスイッチバーン」の激ウマ！！シェフのおすすめ本格ジャポネソース（SWITCH BAHN）,5000, ジャポネソース３６５ml×２本l,https://www.furusato-tax.jp/japan/prefecture/item_detail/40223/311019
上士幌産大豆を使った発酵ドレッシング,6000, 150ml×3本（糀＆ごま、糀＆醤油オニオン、糀＆ゆず）,https://www.furusato-tax.jp/japan/prefecture/item_detail/01633/360163
kan053　お得！1.5kg！豚肩ロースステーキ　150g×10P　寄付額7.000円,7000, 肩ロース　150g×10枚（冷凍）,https://www.furusato-tax.jp/japan/prefecture/item_detail/39302/368836
B3-05 人気沸騰！ブランドポーク乳豚「ボリュームステーキ」150g×6枚,8000, 乳豚ロース(150g×6枚),https://www.furusato-tax.jp/japan/prefecture/item_detail/40610/29748
kan080　お得！1.5kg！豚肩ロースステーキ　150g×15P　寄付額9.000円,9000, 肩ロース　150g×10枚（冷凍）,https://www.furusato-tax.jp/japan/prefecture/item_detail/39302/368837
090.鳥取和牛A5ロースステーキ,1, 鳥取県産黒毛和牛A5ロースステーキ140g×2枚　合計280g,https://www.furusato-tax.jp/japan/prefecture/item_detail/31372/307300
6-12ミヤチク宮崎牛ロースステーキ1枚【消費ﾎﾟｲﾝﾄ100pt】,100, 宮崎牛ロースステーキ1枚(300g),https://www.furusato-tax.jp/japan/prefecture/item_detail/45405/265446
[1510]十勝鹿追産牛肉「とかち晴れ」ロースステーキ,10000,  ロースステーキ（交雑種）500ｇ,https://www.furusato-tax.jp/japan/prefecture/item_detail/01634/339191
B115 黒毛和牛特上霜降りサイコロステーキ300g,10000, ・黒毛和牛特上霜降りサイコロステーキ300g［冷凍］,https://www.furusato-tax.jp/japan/prefecture/item_detail/27213/197872
『瀬戸内コラトゥーラ（魚醤）』200ｍｌ　イタリア南部伝統の調味料を再現,10000, 200ml,https://www.furusato-tax.jp/japan/prefecture/item_detail/35344/228681
B22　海の幸セット　製造直売店,10000, まぐろステーキ（しょうゆ味） まぐろステーキ（みそ味） シイラみりん干し 味付かつお腹身 かつをみそ日南天ぷら（真空・6枚入） うるめ丸干し（小粒） ちりめんじゃこ,https://www.furusato-tax.jp/japan/prefecture/item_detail/45204/90247
